id;name;sector;fundation;description;icnome;expenses;capitalization;employees
1;infomediaries CSS;drive Cambridgeshire;2023-04-08;synthesizing;75219;16240;62067;69907
2;Fresh parallelism;Bedfordshire purple;2023-04-07;integrated synthesize Mountains;8474;43932;68521;65500
3;Utah Missouri;Berkshire payment ROI;2023-04-08;Tools;49729;82136;29891;84591
4;Interactions;Internal Program Colombian;2023-04-07;Licensed explicit;93647;36886;86100;36483
5;Wisconsin Montana;fuchsia;2023-04-07;Baby Implementation payment;38718;23195;81428;76039
6;drive SMS Dynamic;Consultant;2023-04-07;Re-engineered auxiliary;93848;94138;13473;21040
7;capability;navigating SDD Granite;2023-04-08;Tactics explicit;28261;40460;59832;17880
8;Lanka Bolivar;Australian;2023-04-07;pixel;48260;55940;19110;46539
9;scale New;Analyst;2023-04-08;Small Assistant Analyst;36167;30395;95670;24671
10;azure Cambridgeshire Handmade;Tuna Frozen Mariana;2023-04-08;Rial Sports Wyoming;21685;57113;74908;64567
